               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.056771,            0.017234,            0.021628,             0.75717,             0.89846,             0.88439,             0.32921,            0.061406,            0.011105,             0.01409,            0.009307,            0.009307,            0.009307
                  37,            0.051992,             0.01657,            0.020701,             0.73378,             0.92857,             0.87251,              0.3788,            0.053745,            0.011243,              0.0134,           0.0092872,           0.0092872,           0.0092872
                  38,             0.05001,            0.017892,            0.020493,             0.65432,             0.90476,             0.86644,             0.46847,            0.044767,            0.011274,            0.012834,           0.0092674,           0.0092674,           0.0092674
                  39,             0.04718,             0.01914,            0.020422,             0.56277,             0.87258,             0.84006,             0.51448,            0.054775,             0.01055,             0.01235,           0.0092476,           0.0092476,           0.0092476
                  40,            0.057232,            0.017578,            0.019284,             0.56277,             0.87258,             0.84006,             0.51448,            0.054775,             0.01055,             0.01235,           0.0092278,           0.0092278,           0.0092278
                  41,            0.053808,            0.015799,            0.018594,             0.63005,             0.85714,             0.84701,             0.55804,            0.049315,            0.010999,            0.011657,            0.009208,            0.009208,            0.009208
                  42,            0.049947,            0.016629,             0.01845,             0.82737,             0.93078,             0.94532,             0.55407,            0.050751,            0.010676,            0.010565,           0.0091882,           0.0091882,           0.0091882
                  43,            0.044526,            0.017328,            0.019909,              0.9088,             0.78654,             0.91017,             0.60411,            0.057821,            0.011492,           0.0097112,           0.0091684,           0.0091684,           0.0091684
                  44,            0.060252,            0.014752,            0.015071,              0.9088,             0.78654,             0.91017,             0.60411,            0.057821,            0.011492,           0.0097112,           0.0091486,           0.0091486,           0.0091486
                  45,            0.055019,            0.017465,            0.015461,             0.92103,             0.90476,             0.92547,             0.53199,            0.056598,            0.011409,           0.0090366,           0.0091288,           0.0091288,           0.0091288
                  46,            0.053353,             0.01549,            0.014811,             0.94288,             0.92857,             0.94249,             0.49649,            0.059147,           0.0099997,           0.0089347,            0.009109,            0.009109,            0.009109
                  47,            0.058387,            0.013932,            0.016163,              0.9301,             0.89447,             0.93421,             0.60429,            0.051261,           0.0094482,           0.0084629,           0.0090892,           0.0090892,           0.0090892
                  48,            0.051976,            0.016272,            0.014814,              0.9301,             0.89447,             0.93421,             0.60429,            0.051261,           0.0094482,           0.0084629,           0.0090694,           0.0090694,           0.0090694
                  49,            0.050478,            0.014711,            0.014336,              0.9489,             0.90238,             0.93999,             0.43987,             0.05114,           0.0091252,           0.0081032,           0.0090496,           0.0090496,           0.0090496
                  50,            0.052703,            0.015273,            0.013305,             0.72067,             0.95238,             0.92598,             0.37372,            0.067653,           0.0087823,           0.0067817,           0.0090298,           0.0090298,           0.0090298
